freq,stage1_db,stage1_deg,stage2_db,stage2_deg,stage3_db,stage3_deg
4.16869383470333e+02,-1.79103873981729e+01,-1.38249862262761e+02,-3.47294048637384e+01,7.39903776620300e+01,-5.03222223322040e+01,-9.30556410684763e+01
4.26579518801591e+02,-1.82605482128772e+01,-1.39122630676180e+02,-3.54716832549627e+01,7.23286478876883e+01,-5.15179614575862e+01,-9.51008509698440e+01
4.36515832240164e+02,-1.86126852823940e+01,-1.39980412172349e+02,-3.62166222155614e+01,7.07028135331373e+01,-5.27138107857803e+01,-9.70952003890558e+01
4.46683592150961e+02,-1.89667306474565e+01,-1.40823280753853e+02,-3.69640955328035e+01,6.91121897003917e+01,-5.39097724362888e+01,-9.90402693178636e+01
4.57088189614873e+02,-1.93226178825118e+01,-1.41651322383741e+02,-3.77139833165803e+01,6.75560948531326e+01,-5.51058482299334e+01,-1.00937566126488e+02
4.67735141287196e+02,-1.96802821269511e+01,-1.42464634249174e+02,-3.84661716649260e+01,6.60338519362303e+01,-5.63020396847674e+01,-1.02788533032067e+02
4.78630092322636e+02,-2.00396601097212e+01,-1.43263324041829e+02,-3.92205523461577e+01,6.45447893313171e+01,-5.74983480201368e+01,-1.04594551030995e+02
4.89778819368444e+02,-2.04006901677315e+01,-1.44047509257043e+02,-3.99770224974031e+01,6.30882416677297e+01,-5.86947741666832e+01,-1.06356944360535e+02
5.01187233627270e+02,-2.07633122584713e+01,-1.44817316513391e+02,-4.07354843391293e+01,6.16635505060774e+01,-5.98913187805901e+01,-1.08076984546179e+02
5.12861383991362e+02,-2.11274679672463e+01,-1.45572880894136e+02,-4.14958449051733e+01,6.02700649097864e+01,-6.10879822607657e+01,-1.09755894083734e+02
5.24807460249770e+02,-2.14931005094371e+01,-1.46314345311741e+02,-4.22580157876914e+01,5.89071419182323e+01,-6.22847647679586e+01,-1.11394849798697e+02
5.37031796370250e+02,-2.18601547281742e+01,-1.47041859896433e+02,-4.30219128963926e+01,5.75741469334966e+01,-6.34816662450326e+01,-1.12994985920046e+02
5.49540873857622e+02,-2.22285770878130e+01,-1.47755581409588e+02,-4.37874562313875e+01,5.62704540313570e+01,-6.46786864378131e+01,-1.14557396900927e+02
5.62341325190346e+02,-2.25983156635772e+01,-1.48455672682505e+02,-4.45545696689663e+01,5.49954462058409e+01,-6.58758249160526e+01,-1.16083140014759e+02
5.75439937337154e+02,-2.29693201277299e+01,-1.49142302081012e+02,-4.53231807596208e+01,5.37485155555304e+01,-6.70730810941772e+01,-1.17573237751879e+02
5.88843655355586e+02,-2.33415417326104e+01,-1.49815642996138e+02,-4.60932205376300e+01,5.25290634187853e+01,-6.82704542515567e+01,-1.19028680038929e+02
